Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",72.951992,-113.548008,45.000000,top
"C2","10uF","CP_Elec_4x4.5",101.000000,-92.000000,180.000000,top
"C3","100nF","C_0603_1608Metric",34.000000,-64.000000,180.000000,top
"C4","10uF","C_0603_1608Metric",37.000000,-144.000000,0.000000,top
"C5","10nF","C_0603_1608Metric",66.048008,-105.951992,-135.000000,top
"C6","100nF","C_0603_1608Metric",67.048008,-107.451992,-135.000000,top
"C7","1uF","C_0603_1608Metric",67.951992,-109.048008,-135.000000,top
"C8","10nF","C_0603_1608Metric",73.500000,-99.000000,45.000000,top
"C9","100nF","C_0603_1608Metric",75.000000,-100.000000,45.000000,top
"C10","1uF","C_0603_1608Metric",76.500000,-101.000000,45.000000,top
"C11","10nF","C_0603_1608Metric",64.951992,-89.451992,135.000000,top
"C12","100nF","C_0603_1608Metric",65.951992,-87.951992,135.000000,top
"C13","1uF","C_0603_1608Metric",66.951992,-86.451992,135.000000,top
"C14","10nF","C_0603_1608Metric",54.000000,-96.000000,-135.000000,top
"C15","100nF","C_0603_1608Metric",52.548008,-94.500000,-135.000000,top
"C16","1uF","C_0603_1608Metric",51.000000,-93.000000,-135.000000,top
"C17","100nF","C_0603_1608Metric",74.201992,-96.201992,-45.000000,top
"C18","100nF","C_0603_1608Metric",62.451992,-88.548008,45.000000,top
"C19","100nF","C_0603_1608Metric",54.500000,-99.000000,135.000000,top
"C20","100nF","C_0603_1608Metric",63.548223,-107.823223,180.000000,top
"C21","1uF","C_0603_1608Metric",56.451992,-104.201992,135.000000,top
"C22","100nF","C_0603_1608Metric",57.548008,-103.048008,135.000000,top
"C23","150pF","C_0603_1608Metric",59.500000,-108.500000,90.000000,top
"C24","5.6nF","C_0603_1608Metric",60.225000,-111.000000,0.000000,top
"C25","10uF","CP_Elec_4x4.5",113.100000,-70.000000,-90.000000,top
"C26","22uF","CP_Elec_4x4.5",108.000000,-70.000000,-90.000000,top
"C27","22uF","CP_Elec_4x4.5",114.600000,-93.000000,-90.000000,top
"C28","22uF","C_0603_1608Metric",102.725000,-85.500000,180.000000,top
"C29","100nF","C_0603_1608Metric",60.275000,-113.000000,0.000000,top
"C30","100nF","C_0603_1608Metric",102.725000,-84.000000,180.000000,top
"C32","10uF","C_0603_1608Metric",29.225000,-136.000000,0.000000,top
"C33","100nF","C_0603_1608Metric",24.825000,-122.300000,180.000000,top
"C34","100nF","C_0603_1608Metric",71.225000,-124.500000,0.000000,top
"C35","10uF","CP_Elec_4x4.5",79.000000,-96.000000,90.000000,top
"C36","100nF","C_0603_1608Metric",61.000000,-116.000000,-90.000000,top
"C37","10nF","C_0603_1608Metric",56.775000,-113.000000,0.000000,top
"C38","100nF","C_0603_1608Metric",46.000000,-64.225000,90.000000,top
"C39","100nF","C_0603_1608Metric",26.248008,-125.051992,-135.000000,top
"C40","100nF","C_0603_1608Metric",38.393750,-118.000000,0.000000,top
"C41","100nF","C_0603_1608Metric",24.400000,-116.800000,180.000000,top
"C42","100nF","C_0603_1608Metric",24.525000,-118.300000,180.000000,top
"C43","100nF","C_0603_1608Metric",33.000000,-110.975000,90.000000,top
"C44","100nF","C_0603_1608Metric",38.393750,-123.500000,0.000000,top
"C45","100nF","C_0603_1608Metric",30.548008,-129.548008,-135.000000,top
"C46","100nF","C_0603_1608Metric",31.500000,-110.975000,90.000000,top
"C47","1uF","C_0603_1608Metric",25.200000,-128.625000,-90.000000,top
"C48","1uF","C_0603_1608Metric",23.125000,-124.000000,180.000000,top
"C49","100nF","C_0603_1608Metric",30.568750,-125.775000,-90.000000,top
"C50","100nF","C_0603_1608Metric",37.048008,-135.451992,45.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.500000,-77.000000,180.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.600000,-79.300000,180.000000,top
"D3","D_Schottky","D_SMB",108.150001,-64.000000,180.000000,top
"D4","D_Schottky","D_SMB",59.427000,-138.938000,180.000000,top
"D5","D_Schottky","D_SMB",59.445000,-143.764000,0.000000,top
"D6","D_Schottky","D_SMB",101.990000,-137.160000,180.000000,top
"FB1","600 @ 100Mhz (2A)","R_0805_2012Metric",114.087500,-63.500000,-90.000000,top
"FB2","600R @ 100Mhz","R_0805_2012Metric",106.000000,-92.287500,-90.000000,top
"FB3","600R @ 100Mhz","R_0805_2012Metric",52.730120,-107.289880,45.000000,top
"J1","Conn_02x08_Odd_Even","IDC-Header_2x08_P2.54mm_Vertical",96.520000,-55.880000,0.000000,top
"J2","Conn_02x08_Odd_Even","IDC-Header_2x08_P2.54mm_Vertical",86.360000,-55.880000,0.000000,top
"J3","Conn_02x08_Odd_Even","IDC-Header_2x08_P2.54mm_Vertical",76.200000,-55.880000,0.000000,top
"J4","Conn_02x08_Odd_Even","IDC-Header_2x08_P2.54mm_Vertical",66.040000,-55.880000,0.000000,top
"J5","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",99.060000,-106.680000,90.000000,top
"J6","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",86.360000,-106.680000,90.000000,top
"J7","Conn_02x08_Odd_Even","IDC-Header_2x08_P2.54mm_Vertical",55.880000,-55.880000,0.000000,top
"J8","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",55.880000,-121.920000,0.000000,top
"J9","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",38.100000,-71.120000,0.000000,top
"J10","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",45.720000,-71.120000,0.000000,top
"J11","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",81.280000,-132.080000,0.000000,top
"J12","Conn_02x06_Odd_Even","PinHeader_2x06_P2.54mm_Vertical",50.800000,-124.460000,180.000000,top
"J13","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",58.420000,-118.000000,-90.000000,top
"J14","USB_B_Micro","USB_Micro-B_Molex_47346-0001",43.625000,-143.799999,0.000000,top
"J15","Screw_Terminal_01x02","KF301-5.0-2P",110.500000,-57.000000,180.000000,top
"J16","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",42.400000,-114.300000,0.000000,top
"J17","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",22.860000,-58.420000,0.000000,top
"J18","Conn_02x10_Odd_Even","IDC-Header_2x10_P2.54mm_Vertical",22.860000,-73.660000,0.000000,top
"L3","47uH","L_0603_1608Metric",43.000000,-63.787501,90.000000,top
"L4","47uH","L_0603_1608Metric",48.000000,-64.212499,-90.000000,top
"Q1","Q_PNP_BCE","SOT-223-3_TabPin2",48.772614,-103.727386,-135.000000,top
"R1","27","R_0603_1608Metric",79.000000,-86.825000,90.000000,top
"R2","27","R_0603_1608Metric",80.500000,-86.825000,90.000000,top
"R3","27","R_0603_1608Metric",82.000000,-86.825000,90.000000,top
"R4","27","R_0603_1608Metric",85.500000,-94.425000,-90.000000,top
"R5","27","R_0603_1608Metric",75.000000,-83.175000,90.000000,top
"R6","27","R_0603_1608Metric",76.500000,-83.175000,90.000000,top
"R7","27","R_0603_1608Metric",78.000000,-83.175000,90.000000,top
"R8","27","R_0603_1608Metric",87.500000,-94.500000,-90.000000,top
"R9","27","R_0603_1608Metric",71.500000,-87.000000,90.000000,top
"R10","27","R_0603_1608Metric",73.000000,-87.000000,90.000000,top
"R11","27","R_0603_1608Metric",74.500000,-87.000000,90.000000,top
"R12","27","R_0603_1608Metric",88.000000,-81.675000,90.000000,top
"R13","27","R_0603_1608Metric",69.000000,-82.825000,90.000000,top
"R14","27","R_0603_1608Metric",70.500000,-82.825000,90.000000,top
"R15","27","R_0603_1608Metric",72.000000,-82.825000,90.000000,top
"R16","27","R_0603_1608Metric",85.500000,-81.600000,90.000000,top
"R17","27","C_0603_1608Metric",27.100000,-128.025000,-90.000000,top
"R18","4.7k","R_0603_1608Metric",105.855000,-129.540000,0.000000,top
"R19","4.7k","R_0603_1608Metric",105.855000,-127.000000,0.000000,top
"R20","27","R_0603_1608Metric",38.000000,-64.000000,90.000000,top
"R21","4.3k","R_0603_1608Metric",61.000000,-108.500000,-90.000000,top
"R22","1k","R_0603_1608Metric",53.083363,-100.000000,135.000000,top
"R23","10k","R_0603_1608Metric",74.000000,-108.500000,90.000000,top
"R24","10k","R_0603_1608Metric",56.825000,-115.000000,180.000000,top
"R25","27","R_0603_1608Metric",43.000000,-107.000000,180.000000,top
"R26","27","R_0603_1608Metric",83.500000,-81.575000,90.000000,top
"R27","27","R_0603_1608Metric",69.000000,-105.500000,-45.000000,top
"R28","0","R_0603_1608Metric",80.455000,-124.510000,180.000000,top
"R29","0","R_0603_1608Metric",80.455000,-127.000000,180.000000,top
"R30","4.7k","R_0603_1608Metric",111.600000,-76.625000,90.000000,top
"R31","4.7k","R_0603_1608Metric",111.600000,-79.775000,-90.000000,top
"R32","27","R_0603_1608Metric",28.600000,-128.075000,-90.000000,top
"R33","DNF","R_0603_1608Metric",39.916637,-132.083363,45.000000,top
"R34","1k","R_0603_1608Metric",41.000000,-134.325000,90.000000,top
"R35","27","R_0603_1608Metric",38.316637,-114.183363,45.000000,top
"R36","27","R_0603_1608Metric",37.283363,-113.116637,45.000000,top
"R37","27","R_0603_1608Metric",36.216637,-112.083363,45.000000,top
"R38","2k","R_0603_1608Metric",63.000000,-111.825000,-90.000000,top
"R39","2k","R_0603_1608Metric",64.500000,-111.825000,-90.000000,top
"SW2","SW_SPST","SW_PUSH_6mm",45.500000,-134.000000,0.000000,top
"U1","ADAU1452","LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm",64.000000,-98.000000,45.000000,top
"U2","2305NZ","SOIC-8_5.23x5.23mm_P1.27mm",86.000000,-88.000000,90.000000,top
"U3","WeMos_D1_mini","WEMOS_D1_mini_light",86.360000,-121.920000,0.000000,top
"U4","~","PLT133-T10",35.560000,-61.050000,0.000000,top
"U5","LD1117S33TR_SOT223","SOT-223-3_TabPin2",109.000000,-86.000000,180.000000,top
"U6","24LC32","SOIC-8_5.23x5.23mm_P1.27mm",64.865000,-118.000000,90.000000,top
"U7","~","PLR135-T8",45.460000,-61.120000,0.000000,top
"U8","UM811TE","SOT-143",85.000000,-99.500000,0.000000,top
"U9","~","YSO110TR_SMD3225",71.000000,-111.414214,45.000000,top
"U10","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",31.143750,-119.300000,180.000000,top
"U11","LD1117S33TR_SOT223","SOT-223-3_TabPin2",31.000000,-141.149999,90.000000,top
"U12","12MHz","YSO110TR_SMD3225",33.050000,-107.250001,-90.000000,top
"U13","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",36.000000,-130.500000,-135.000000,top
